Zip_Code,City,State,CountyName,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04
77381,The Woodlands,TX,Montgomery County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.885389815,0.856094578,0.843627599,0.876070364,0.900318576,0.902890793,0.909090909,0.93972347,0.939849624,0.944027972,0.913676579,0.982209738,0.924369748,0.967614534,0.967614534,0.987458746,0.965872505,0.958194437,0.93270662,0.989539157,1.013847911,1.017964072,1.014023732,1.017699115,1.014023732,1.048683392,0.984011329,0.968835754,0.962815405,0.969853695,0.967184801,0.970669948,0.970088925,0.944400631,0.944228287,0.944228287,0.959624506,0.958820663,0.977970852,0.966733011,0.970795024,0.981418477,0.997304582,1.007109005,1.005819954,0.984736583,0.975260734,0.973280785,0.990973312,1.0087241,0.999048525,1.001392758,1.014060145,1.030042439,1.018808777,0.993916146,0.977653631,0.931562514,0.965214761,0.953463203,0.934104985,0.92,0.950074247,0.963997071,0.948023426,0.936090673,0.950624291,0.948468288,0.937825747,0.929227877,0.929714683,0.926651961,0.923392613,0.925,0.966716519,0.959998027,0.982939162,0.985808164,0.982318271,1.000600721,1.006632858,1.001226503,0.972877358,0.962514075,0.985934947,0.972877358,0.978965439,0.980769231,0.986182448,1.001499467
77377,Tomball,TX,Harris County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.811074111,0.812619503,0.850246846,0.881410256,0.922978994,0.853889943,0.860289057,0.846653347,0.842459983,0.853889943,0.856653341,0.850965961,0.855106888,0.862068966,0.87665243,0.887104519,0.855745721,0.838323353,0.839834754,0.862663906,0.85761079,0.859069061,0.860677784,0.857376471,0.841903068,0.854351115,0.811688312,0.854627072,0.826591337,0.841346154,0.809178744,0.827433139,0.847823206,0.854009186,0.828528281,0.843945901,0.877632899,0.875156589,0.878684807,0.876527215,0.832334937,0.806845966,0.8401222,0.842400472,0.828488175,0.845864662,0.840176481,0.841346154,0.845785171,0.841346154,0.869565217,0.863678805,0.874603644,0.884390604,0.875897226,0.870827286,0.85106383,0.862919132,0.859489526,0.884016973,0.841346154
77365,Porter,TX,Montgomery County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.863521654,0.913032995,0.885501466,0.859375,0.865168539,0.854789325,0.861406447,0.883218842,0.898473896,0.897225781,0.903614458,0.88701172,0.903614458
77025,Houston,TX,Harris County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.197812708,1.027304072,0.897334021,0.93528817,0.906432749,0.899470899,0.964320154,0.897334021,0.897334021,0.897334021,0.921030746,1.025641026,0.97914006,1.01607781,1.042668546,1.028999065,1.09078114,1.01770122,1.008073736,1.036729858,1.027210884,1.007869432,1.082113304,1.145443236,1.171875,1.230101302,1.20186711,1.16838488,1.137841352,1.106526632,1.041676593,1.036258442,1.064537591,1.116358952,1.10642509,1.11662531,1.104917949,1.133144476,1.027210884,1.041666667,1.069550737,0.983263033,1.027210884,0.958828416,1.006036217,1.03341818,1.075911536,1.078582435,1.074619812,1.08577633,1.078869048,1.073072117,1.082004556,1.022424981,1.003756511,1.027210884,1.032448378,1.078888965,1.073653861,1.112656467,1.111798346,1.08577633,1.115403458,1.085746102,1.050564508,1.032065217,1.04719764,1.047207447,1.085029241,1.071369319,1.071369319,1.063519814
77571,La Porte,TX,Harris County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.979444414,0.943396226,1.001796025,1,0.996140472,0.99931082,0.933215137,0.960922486,0.958640122,1.009259259,1.03021978,1.050620821
77073,Houston,TX,Harris County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.687679083,0.673386899,0.647321429,0.674128058,0.68845107,0.674128058,0.754654984,0.667828107,0.663786332,0.686363636,0.763157895,0.685127107,0.714285714,0.732924694,0.681817218,0.675617745,0.688980784,0.686277702,0.677570093,0.674816475,0.670993488,0.68804414,0.715746421,0.715746421,0.720269534,0.723025584,0.730307773,0.738073386,0.736111111,0.74445046,0.748663102,0.732290562,0.733859731,0.716542319,0.736899563,0.717338217,0.75201745,0.75024674,0.752760205,0.765454026,0.773918588,0.801787592,0.787844682,0.785030951,0.775059666,0.74445046,0.746939837,0.759707372,0.759707372,0.763046075,0.811402646,0.812210662,0.821318229,0.756972112,0.789473684,0.769240955,0.772435897,0.7711983,0.772727273,0.74445046,0.766141502,0.756196257,0.762703486,0.77996726,0.777202073,0.785735425,0.772648707,0.801913337,0.805555556,0.802964793,0.799418605,0.792769266,0.788834951,0.791666667,0.807847663,0.790169133,0.780057797,0.78125,0.784992017,0.782446467,0.787187839,0.782064651,0.78460039,0.782064651,0.794195357
77380,The Woodlands,TX,Montgomery County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.823045267,0.840751731,0.990852233,0.963921187,0.973709834,0.991605456,0.990708114,1.031405962,1.015792507,0.997146675,1.048951049,1.048268625,0.948275862,1.019965278,1.002483111,0.994865212,0.943809382,0.956683011,0.956683011,0.964340938,0.964340938,0.970486967,0.951639989,0.942232794,0.974403789,1.00879029,1.00249364,0.998356873,0.995644057,0.984199214,0.959677419,0.957241638,0.971646292,1.02118003,1.00233839,0.996483001,0.974770642,0.983561644,0.978647687,1.003344482,0.996857388,0.946394687,1.025938347,1.004728132,1.040582726,0.970795024,0.997331554,1.002094533,0.945723684,0.967353006,0.988527171,0.956216424,0.966191273,0.983908567,0.978647687,0.966844484,0.979020979,1.001992347,1.030871154,0.976138829,0.964704303,0.983552253,1.012401988,1.04767184,1.014403292,1.06292517,1.057781255,1.021153826,1.046158876,1.006711409,1.052001174,1.053571429,1.012987013,0.988533017,0.99736259,1.020182341,1.012140766,1.058851592,1.052421258,1.049180328,1.059502125
77389,The Woodlands,TX,Montgomery County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.893898173,0.943166415,0.864188775,0.87191822,0.893243609,0.901898734,0.956090652,0.917687153,0.947661534,0.878593671,0.870901639,0.87191822,0.864854872,0.864854872,0.895626603,0.982764396,0.942670258,0.941503741,0.946969697,0.934667453,0.933625091,0.927715501,0.930715629,0.971210932,0.957446809,0.948766603,0.95609257,0.954738331,0.980993256,0.988508724,0.948588342,0.94273743,0.914913083,0.940944882,0.929899857,0.927876823,0.921556633,0.909090909,0.933706816,0.910596026,0.935925126,0.928170987,0.886323268,0.895633971,0.884955752,0.837957472,0.856034691,0.862254796,0.874414647,0.883179799,0.8984375,0.923699928,0.912711749,0.910789351,0.884039129,0.872194453,0.894593543,0.891341256,0.924608819,0.900217577,0.901984366,0.925482899,0.930222353,0.945787872,0.933856668,0.914041229,0.901756051,0.898652022,0.883960141,0.881057269,0.887664524,0.883908142,0.93153419,0.930232558,0.930181241
77382,The Woodlands,TX,Montgomery County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.912408759,0.894054537,0.91562245,0.932010376,0.927947598,0.933271115,0.933997509,0.926585887,0.911611689,0.921880318,0.918041251,0.928186175,0.947983866,0.932090546,0.904576857,0.931011219,0.931011219,0.932017544,0.988793672,1.118090452,0.988517278,0.998767267,1.002055498,0.992555831,0.969852307,0.950196592,0.962013061,0.962013061,0.970814844,0.985291018,0.986256387,0.973809589,0.96852323,0.967311541,0.99626401,1.003261165,0.979083222,0.967283073,0.973828363,0.965632859,0.961846845,0.976423488,0.964630225,0.965396606,0.985221675,1.000542419,0.992163039,0.997652582,1.005025126,0.991735537,0.98206661,0.975164001,0.975164001,0.974718246,0.963762529,0.972786353,0.976471618,0.975989329,0.981461287,0.976138829,0.975609756,0.959645669,0.950292398,0.941721002,0.926738928,0.945607276,0.911259793,0.905342112,0.928186175,0.932176149,0.927440067,0.929054054,0.924269054,0.924713584,0.938691698,0.929549902,0.93388121,0.950570342,0.949964457,0.950520833,0.949994459,0.961788407,0.963512052,0.975094396,0.976385659,0.972850081,0.953757225,0.954198473,0.955506213,0.94181912,0.957446809,0.956359187,0.960384154,0.976864011
77477,Stafford,TX,Fort Bend County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.836337419,0.850488184,0.854089372,0.84989858,0.860936402,0.840144231,0.808812266,0.829081633,0.852086949,0.828111762,0.807799443,0.82538518,0.840144231,0.840144231,0.77994429,0.774612694,0.834272553,0.847214973,0.838532182,0.836920134,0.864029666,0.845532559,0.835996007,0.830798907,0.830152921,0.830860534,0.829445308,0.830152921
